"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"Abonnenten Service Center GmbH (Offenburg),  AdTech Factory GmbH & Co. KG (Offenburg),  Amica Verlag GmbH & Co. KG (München),  BDV Beteiligungen GmbH & Co. KG (München),  bestwetten.de GmbH (Offenburg),  Bunte Entertainment Verlag GmbH (München),  Burda Binding Nürnberg GmbH (Nürnberg),  Burda Ciscom GmbH (Offenburg),  Burda Community Network GmbH (München),  Burda Community Network International GmbH (München),  Burda Digital Commerce GmbH (Offenburg),  Burda Digital SE (München),  Burda Digital Systems GmbH (Offenburg),  Burda Digital Ventures GmbH (Offenburg),  Burda Direct GmbH (Offenburg),  Burda Direct Interactive GmbH (Offenburg),  Burda Direkt Services GmbH (Offenburg),  Burda Druck GmbH (Offenburg),  Burda Druck Nürnberg GmbH & Co. KG (Nürnberg),  BurdaForward Advertising GmbH (München),  BurdaForward GmbH (München),  Burda Grundstücksgesellschaft mbH & Co. KG (Offenburg),  Burda International Holding GmbH (Offenburg),  Burda Kantinen GmbH (München),  Burda Magazine Holding GmbH (München),  Burda Medien Vertrieb GmbH (Offenburg),  BurdaNews GmbH (Hamburg),  Burda Principal Investments GmbH & Co. KG (München),  Burda Procurement GmbH (München),  Burda Senator Verlag GmbH (Offenburg),  Burda Service-Handel-Märkte GmbH (Offenburg),  Burda Services GmbH (Offenburg),  Burda Studios Pictures GmbH (München),  Burda Studios Publishing GmbH (München),  BurdaStyle GmbH (München),  CHIP Communications GmbH (München),  CHIP Digital GmbH (München),  CHIP Holding GmbH (München),  Cliqz GmbH (München),  Cliqz International GmbH (München),  Cliqz MyOffrz GmbH (München),  daskochrezept.de GmbH (Offenburg),  DLD Media GmbH (München),  DLD Ventures GmbH (München),  Fit for Fun Verlag GmbH (Hamburg),  Focus Line Extensions GmbH (München),  Focus Magazin Verlag GmbH (München),  Focus Money Redaktions-GmbH,  Deutsches Institut für Qualität und Finanzen (München),  FOCUS Online Group GmbH (München),  Focus TV-Produktions GmbH (München),  ForwardContentServices GmbH (München),  freundin Verlag GmbH (München),  FTM Freizeit- und Trendmarketing GmbH & Co. KG (Kleve),  Internet Magazin Verlag GmbH (München),  jameda GmbH (München),  MAX Verlag GmbH & Co. KG (Hamburg),  Media Market Insights GmbH (Offenburg),  MFI Meine Familie und ich Verlag GmbH (München),  M.I.G. Medien Innovation GmbH (Offenburg),  Neue Verlagsgesellschaft mbH (Offenburg),  Ortenauer Papierverarbeitung GmbH (Offenburg),  Playboy Deutschland Publishing GmbH (München),  ROSEA Grundstücks-Vermietungsgesellschaft mbH & Co. Objekt BURDA Medien Park KG (Düsseldorf),
                                        Super Illu Verlag GmbH & Co. KG (Berlin),  TEC The Enabling Company GmbH (Hamburg),  TV Spielfilm Verlag GmbH (Hamburg),  Valiton GmbH (München),  Verlag Aenne Burda GmbH & Co. KG (Offenburg) Offenburg";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2019 bis zum 31.12.2019 Burda Gesellschaft mit beschränkter Haftung (Offenburg)";"26.03.2020";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"a349b366482cb032";"01328";"Wed Jul 15 20:12:54 2020"
"Design Factory International GmbH College of Communication Art and New Media Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"13.12.2019";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"954b4216c7a11349";"01328";"Wed Jul 15 20:12:54 2020"
"Global Communications Frankfurt GmbH (vormals: BRAND FACTORY Sales GmbH) Frankfurt am Main";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"12.12.2019";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"f9b5f4c816316d4b";"01328";"Wed Jul 15 20:12:54 2020"
"Communication Factory GmbH Magdeburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"25.11.2019";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"04776e123c4df3b9";"01328";"Wed Jul 15 20:12:54 2020"
"Abonnenten Service Center GmbH (Offenburg),  AdTech Factory GmbH & Co. KG (Offenburg),  Amica Verlag GmbH & Co. KG (München),  BDV Beteiligungen GmbH & Co. KG (München),  bestwetten.de GmbH (Offenburg),  Bunte Entertainment Verlag GmbH (München),  Burda Ciscom GmbH (Offenburg),  Burda Community Network GmbH (München),  Burda Community Network International GmbH (München),  Burda Digital Commerce GmbH (Offenburg),  Burda Digital GmbH (München),  Burda Digital Systems GmbH (Offenburg),  Burda Digital Ventures GmbH (Offenburg),  Burda Direct GmbH (Offenburg),  Burda Direct Interactive GmbH (Offenburg),  Burda Direkt Services GmbH (Offenburg),  Burda Druck GmbH (Offenburg),  Burda Druck Nürnberg GmbH & Co. KG (Nürnberg),  BurdaForward Advertising GmbH (München),  BurdaForward GmbH (München),  Burda Grundstücksgesellschaft mbH & Co. KG (Offenburg),  Burda International Holding GmbH (Offenburg),  Burda Magazine Holding GmbH (München),  Burda Medien Vertrieb GmbH (Offenburg),  BurdaNews GmbH (Hamburg),  Burda Principal Investments GmbH & Co. KG (München),  Burda Procurement GmbH (München),  Burda Senator Verlag GmbH (Offenburg),  Burda Service-Handel-Märkte GmbH (Offenburg),  Burda Services GmbH (Offenburg),  Burda Studios Pictures GmbH (München),  Burda Studios Publishing GmbH (München),  BurdaStyle GmbH (München),  CHIP Communications GmbH (München),  CHIP Digital GmbH (München),  CHIP Holding GmbH (München),  Cliqz GmbH (München),  Cliqz International GmbH (München),  Cliqz MyOffrz GmbH (München),  daskochrezept.de GmbH (Offenburg),  DLD Media GmbH (München),  DLD Ventures GmbH (München),  Fit for Fun Verlag GmbH (Hamburg),  Focus Line Extensions GmbH (München),  Focus Magazin Verlag GmbH (München),  Focus Money Redaktions-GmbH,  Deutsches Institut für Qualität und Finanzen (München),  FOCUS Online Group GmbH (München),  Focus TV-Produktions GmbH (München),  ForwardContentServices GmbH (München),  freundin Verlag GmbH (München),  FTM Freizeit- und Trendmarketing GmbH & Co. KG (Kleve),  Internet Magazin Verlag GmbH (München),  jameda GmbH (München),  MAX Verlag GmbH & Co. KG (Hamburg),  Media Market Insights GmbH (Offenburg),  MFI Meine Familie und ich Verlag GmbH (München),  M.I.G. Medien Innovation GmbH (Offenburg),  mobileminds GmbH (München),  Neue Verlagsgesellschaft mbH (Offenburg),  Ortenauer Papierverarbeitung GmbH (Offenburg),  Patientus GmbH (Berlin),  Playboy Deutschland Publishing GmbH (München),  ROSEA Grundstücks-Vermietungsgesellschaft mbH & Co. Objekt BURDA Medien Park KG (Düsseldorf),
                                        ROSEA Grundstücks-Vermietungsgesellschaft mbH & Co. Objekt BURDA Offenburg KG (Düsseldorf),
                                        STARnetONE GmbH (Berlin),  Super Illu Verlag GmbH & Co. KG (Berlin),  TEC The Enabling Company GmbH (Hamburg),  TV Spielfilm Verlag GmbH (Hamburg),  Verlag Aenne Burda GmbH & Co. KG (Offenburg) Offenburg";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018 Burda Gesellschaft mit beschränkter Haftung (Offenburg)";"24.05.2019";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"4870d4c57106064e";"01328";"Wed Jul 15 20:12:54 2020"
"Burda Gesellschaft mit beschränkter Haftung Offenburg";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2018 bis zum 31.12.2018";"04.12.2019";"9f640089e0eb51d0473f169a5e9dfb07";"4870d4c57106064e";"01328";"Wed Jul 15 20:12:54 2020";"";""
"Design Factory International GmbH College of Communication Art and New Media Hamburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"24.08.2018";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"e83c277f3b1ca34c";"01328";"Wed Jul 15 20:12:54 2020"
"Communication Factory GmbH Magdeburg";"Rechnungslegung/ Finanzberichte";"» Jahresabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"09.08.2018";"100%";"9f640089e0eb51d0473f169a5e9dfb07";"637ddbfe5e47d009";"01328";"Wed Jul 15 20:12:54 2020"
"Abonnenten Service Center GmbH (Offenburg),  AdTech Factory GmbH & Co. KG (Offenburg),  Amica Verlag GmbH & Co. KG (München),  BDV Beteiligungen GmbH & Co. KG (München),  bestwetten.de GmbH (Offenburg),  Bunte Entertainment Verlag GmbH (München),  Burda Ciscom GmbH (Offenburg),  Burda Community Network GmbH (München),  Burda Community Network International GmbH (München),  Burda Digital Commerce GmbH (Offenburg),  Burda Digital GmbH (München),  Burda Digital Systems GmbH (Offenburg),  Burda Digital Ventures GmbH (Offenburg),  Burda Direct GmbH (Offenburg),  Burda Direct Interactive GmbH (Offenburg),  Burda Direkt Services GmbH (Offenburg),  Burda Druck GmbH (Offenburg),  Burda Druck Nürnberg GmbH & Co. KG (Nürnberg),  BurdaForward Advertising GmbH (München),  BurdaForward GmbH (München),  Burda Grundstücksgesellschaft mbH & Co. KG (Offenburg),  Burda International Holding GmbH (Offenburg),  Burda Magazine Holding GmbH (München),  Burda Medien Vertrieb GmbH (Offenburg),  BurdaNews GmbH (Hamburg),  Burda Principal Investments GmbH & Co. KG (München),  Burda Procurement GmbH (München),  Burda Senator Verlag GmbH (Offenburg),  Burda Service-Handel-Märkte GmbH (Offenburg),  Burda Services GmbH (Offenburg),  Burda Studios Pictures GmbH (München),  Burda Studios Publishing GmbH (München),  BurdaStyle GmbH (München),  Burda Wireless GmbH (München),  CHIP Communications GmbH (München),  CHIP Digital GmbH (München),  CHIP Holding GmbH (München),  daskochrezept.de GmbH (Offenburg),  DLD Media GmbH (München),  DLD Ventures GmbH (München),  Fit for Fun Verlag GmbH (Hamburg),  Focus Line Extensions GmbH (München),  Focus Magazin Verlag GmbH (München),  Focus Money Redaktions-GmbH,  Deutsches Institut für Qualität und Finanzen (München),  FOCUS Online Group GmbH (München),  Focus TV-Produktions GmbH (München),  freundin Verlag GmbH (München),  FTM Freizeit- und Trendmarketing GmbH & Co. KG (Kleve),  Internet Magazin Verlag GmbH (München),  jameda GmbH (München),  MAX Verlag GmbH & Co. KG (Hamburg),  Media Market Insights GmbH (Offenburg),  Medienpartner International GmbH (Offenburg),  MFI Meine Familie und ich Verlag GmbH (München),  M.I.G. Medien Innovation GmbH (Offenburg),  mobileminds GmbH (München),  Neue Verlagsgesellschaft mbH (Offenburg),  Ortenauer Papierverarbeitung GmbH (Offenburg),  Patientus GmbH (Berlin),  Playboy Deutschland Publishing GmbH (München),  ROSEA Grundstücks-Vermietungsgesellschaft mbH & Co. Objekt BURDA Medien Park KG (Düsseldorf),
                                        ROSEA Grundstücks-Vermietungsgesellschaft mbH & Co. Objekt BURDA Offenburg KG (Düsseldorf),
                                        STARnetONE GmbH (Berlin),  Super Illu Verlag GmbH & Co. KG (Berlin),  TEC The Enabling Company GmbH (Hamburg),  TV Spielfilm Verlag GmbH (Hamburg),  Valiton GmbH (München),  Verlag Aenne Burda GmbH & Co. KG (Offenburg) Offenburg";"Rechnungslegung/ Finanzberichte";"» §§ 264 Abs. 3, 264b HGB zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017 Burda Gesellschaft mit beschränkter Haftung (Offenburg)";"14.03.2018";"95%";"9f640089e0eb51d0473f169a5e9dfb07";"cd796f4acb5d4613";"01328";"Wed Jul 15 20:12:54 2020"
"Burda Gesellschaft mit beschränkter Haftung Offenburg";"» Konzernabschluss zum Geschäftsjahr vom 01.01.2017 bis zum 31.12.2017";"08.10.2018";"9f640089e0eb51d0473f169a5e9dfb07";"cd796f4acb5d4613";"01328";"Wed Jul 15 20:12:54 2020";"";""
